event_id,event_name,district,disaster_type,sensor,pre_or_post,product_id,acquisition_date,source,source_url,file_path,file_size_mb,sha256,crs,resolution,width,height,bounds,cloud_percentage,valid_pixel_percentage,aoi_coverage,quality_tier,qc_status
TN_OCKHI_2017,Cyclone Ockhi 2017,Kanyakumari,cyclones,Sentinel-1,PRE,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20171113T003257_20171113T003325_019239_020957_4E88,1SDV,GEE,https://earthengine.googleapis.com,data/tamil_nadu/raw/TN_OCKHI_2017/sentinel1/TN_OCKHI_2017_S1_PRE.tif,18.55,f771ddabfd58f04c99b640c92d851c3f072423fadf3e6e0ed9a227b7ec5463fa,EPSG:32643,10.0,1665,1671,"BoundingBox(left=771610.0, bottom=886770.0, right=788260.0, top=903480.0)",N/A,100.0,1.0,S1_TIER_2 = GOOD,PASS
TN_OCKHI_2017,Cyclone Ockhi 2017,Kanyakumari,cyclones,Sentinel-1,POST,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20171207T003256_20171207T003324_019589_021456_3D9E,1SDV,GEE,https://earthengine.googleapis.com,data/tamil_nadu/raw/TN_OCKHI_2017/sentinel1/TN_OCKHI_2017_S1_POST.tif,18.55,633be5ad8a6ecb4a529456a002bbe02f3396f39a6b7fd966a6e9eef13937ecc6,EPSG:32643,10.0,1665,1671,"BoundingBox(left=771610.0, bottom=886770.0, right=788260.0, top=903480.0)",N/A,100.0,1.0,S1_TIER_2 = GOOD,PASS
TN_OCKHI_2017,Cyclone Ockhi 2017,Kanyakumari,cyclones,Sentinel-1,PRE,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20171113T003257_20171113T003325_019239_020957_4E88,1SDV,GEE,https://earthengine.googleapis.com,data/tamil_nadu/processed/TN_OCKHI_2017/sentinel1/TN_OCKHI_2017_S1_PRE.tif,21.24,05fa2ad2cde8c0552cba0fee272490966f2e4ba6d9cde87e0906182f7f866491,EPSG:32643,10.0,1665,1671,"BoundingBox(left=771610.0, bottom=886770.0, right=788260.0, top=903480.0)",N/A,100.0,1.0,S1_TIER_2 = GOOD,PASS
TN_OCKHI_2017,Cyclone Ockhi 2017,Kanyakumari,cyclones,Sentinel-1,POST,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20171207T003256_20171207T003324_019589_021456_3D9E,1SDV,GEE,https://earthengine.googleapis.com,data/tamil_nadu/processed/TN_OCKHI_2017/sentinel1/TN_OCKHI_2017_S1_POST.tif,21.24,a5d2b284c458dc3fc409550843cd94fc80b8cd2d874a3fee9d8ef9cb7641ddb9,EPSG:32643,10.0,1665,1671,"BoundingBox(left=771610.0, bottom=886770.0, right=788260.0, top=903480.0)",N/A,100.0,1.0,S1_TIER_2 = GOOD,PASS
TN_FENGAL_2024,Cyclone Fengal 2024,Villupuram,cyclones,Sentinel-1,PRE,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20241112T003223_20241112T003248_056514_06EDA5_9877,1SDV,GEE,https://earthengine.googleapis.com,data/tamil_nadu/raw/TN_FENGAL_2024/sentinel1/TN_FENGAL_2024_S1_PRE.tif,18.38,7e10cfd618102b9deca0652bb3429fb80f5c989455c2ce60108c468b824deb02,EPSG:32644,10.0,1642,1667,"BoundingBox(left=362210.0, bottom=1311860.0, right=378630.0, top=1328530.0)",N/A,100.0,1.0,S1_TIER_2 = GOOD,PASS
TN_FENGAL_2024,Cyclone Fengal 2024,Villupuram,cyclones,Sentinel-1,POST,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20241206T003221_20241206T003246_056864_06FB8D_9FDB,1SDV,GEE,https://earthengine.googleapis.com,data/tamil_nadu/raw/TN_FENGAL_2024/sentinel1/TN_FENGAL_2024_S1_POST.tif,18.43,2ab0a3503d3ed5134546c1ab228a2ca0eb98b3e0993b242e8aa65deaccce43d2,EPSG:32644,10.0,1642,1667,"BoundingBox(left=362210.0, bottom=1311860.0, right=378630.0, top=1328530.0)",N/A,100.0,1.0,S1_TIER_2 = GOOD,PASS
TN_FENGAL_2024,Cyclone Fengal 2024,Villupuram,cyclones,Sentinel-1,PRE,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20241112T003223_20241112T003248_056514_06EDA5_9877,1SDV,GEE,https://earthengine.googleapis.com,data/tamil_nadu/processed/TN_FENGAL_2024/sentinel1/TN_FENGAL_2024_S1_PRE.tif,20.89,7e83063632a00da69585721df73b8e6251feb8dba0b70cdbec78d431256e455b,EPSG:32644,10.0,1642,1667,"BoundingBox(left=362210.0, bottom=1311860.0, right=378630.0, top=1328530.0)",N/A,100.0,1.0,S1_TIER_2 = GOOD,PASS
TN_FENGAL_2024,Cyclone Fengal 2024,Villupuram,cyclones,Sentinel-1,POST,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20241206T003221_20241206T003246_056864_06FB8D_9FDB,1SDV,GEE,https://earthengine.googleapis.com,data/tamil_nadu/processed/TN_FENGAL_2024/sentinel1/TN_FENGAL_2024_S1_POST.tif,20.89,d86865b94901856bc523df76464e4e98f31330787c18d52b119bb5431683beee,EPSG:32644,10.0,1642,1667,"BoundingBox(left=362210.0, bottom=1311860.0, right=378630.0, top=1328530.0)",N/A,100.0,1.0,S1_TIER_2 = GOOD,PASS
TN_CHENNAI_FLOOD_2021,Chennai Floods 2021,Chennai,floods,Sentinel-1,PRE,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20211023T003148_20211023T003213_040239_04C461_42A6,1SDV,GEE,https://earthengine.googleapis.com,data/tamil_nadu/raw/TN_CHENNAI_FLOOD_2021/sentinel1/TN_CHENNAI_FLOOD_2021_S1_PRE.tif,2.52,ee9ddddaadab94b53aa2e8b83b5566c0ddd5b7bb9ba49d88c8ba34c38b3aec0d,EPSG:32644,10.0,1632,1665,"BoundingBox(left=412780.0, bottom=1438070.0, right=429100.0, top=1454720.0)",N/A,13.67,1.0,S1_TIER_2 = GOOD,PASS
TN_CHENNAI_FLOOD_2021,Chennai Floods 2021,Chennai,floods,Sentinel-1,POST,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20211116T003147_20211116T003212_040589_04D094_DB41,1SDV,GEE,https://earthengine.googleapis.com,data/tamil_nadu/raw/TN_CHENNAI_FLOOD_2021/sentinel1/TN_CHENNAI_FLOOD_2021_S1_POST.tif,2.51,f7fa19a574d35a97a887b748de6e946b71bc2e645c23172eeda7c892f48dbe2b,EPSG:32644,10.0,1632,1665,"BoundingBox(left=412780.0, bottom=1438070.0, right=429100.0, top=1454720.0)",N/A,13.58,1.0,S1_TIER_2 = GOOD,PASS
