properties,building_id,total_pixels,valid_pixels,valid_pixel_pct,mean_pre_vv,mean_post_vv,mean_change_vv,median_change_vv,std_change_vv,mean_pre_vh,mean_post_vh,mean_change_vh,median_change_vh,std_change_vh
"{'osm_id': 355095104, 'osm_type': 'yes'}",chennai_bld_001407,2,2,100.0,-1.9970250129699707,0.35314446687698364,2.3501694202423096,2.3501694202423096,1.0823791027069092,-8.65086841583252,-9.544099807739258,-0.893230676651001,-0.893230676651001,1.070136308670044
"{'osm_id': 355095105, 'osm_type': 'yes'}",chennai_bld_001408,3,3,100.0,6.858684539794922,6.58151372273763,-0.277171532313029,0.2238762378692627,0.7386405688602944,-12.230753580729166,-13.178061167399088,-0.9473079045613607,-0.3329648971557617,1.2328336641045858
"{'osm_id': 355095106, 'osm_type': 'yes'}",chennai_bld_001409,1,1,100.0,0.09758411347866058,-0.9945391416549683,-1.09212327003479,-1.09212327003479,0.0,-10.591718673706055,-12.931209564208984,-2.3394908905029297,-2.3394908905029297,0.0
"{'osm_id': 355095107, 'osm_type': 'yes'}",chennai_bld_001410,3,3,100.0,5.699631373087565,7.4002329508463545,1.7006020545959473,2.356919288635254,1.9272040887451847,-11.385621388753256,-12.974845886230469,-1.5892241795857747,-1.7574481964111328,1.141908093570707
"{'osm_id': 355095109, 'osm_type': 'yes'}",chennai_bld_001411,2,2,100.0,-2.426325798034668,-2.5329134464263916,-0.10658776760101318,-0.10658776760101318,1.7714935541152954,-9.737712860107422,-10.853514671325684,-1.1158013343811035,-1.1158013343811035,1.235978603363037
"{'osm_id': 355095111, 'osm_type': 'yes'}",chennai_bld_001412,2,2,100.0,3.0899534225463867,-0.6758986115455627,-3.765852212905884,-3.765852212905884,0.8892247676849365,-7.16758918762207,-7.78548526763916,-0.6178960800170898,-0.6178960800170898,1.3894853591918945
"{'osm_id': 355095112, 'osm_type': 'yes'}",chennai_bld_001413,2,2,100.0,-2.077969551086426,-2.8592231273651123,-0.7812535166740417,-0.7812535166740417,0.8679429888725281,-14.755629539489746,-13.238494873046875,1.517134189605713,1.517134189605713,0.7772889137268066
"{'osm_id': 355095113, 'osm_type': 'yes'}",chennai_bld_001414,2,2,100.0,-0.08733415603637695,-0.3426022529602051,-0.2552680969238281,-0.2552680969238281,3.4228649139404297,-14.592737197875977,-14.15666389465332,0.43607330322265625,0.43607330322265625,4.086928367614746
"{'osm_id': 355095114, 'osm_type': 'yes'}",chennai_bld_001415,2,2,100.0,1.8341197967529297,3.426225185394287,1.5921053886413574,1.5921053886413574,0.5302188396453857,-11.202613830566406,-16.662883758544922,-5.460269451141357,-5.460269451141357,3.490849018096924
"{'osm_id': 355095115, 'osm_type': 'yes'}",chennai_bld_001416,3,3,100.0,-1.5130616823832195,-1.8605324427286785,-0.34747060139973956,-1.1253857612609863,5.896644158817088,-10.76461664835612,-11.704742431640625,-0.9401257832845052,-1.1083059310913086,0.46112366646566394
"{'osm_id': 355095116, 'osm_type': 'yes'}",chennai_bld_001417,2,2,100.0,-5.290632724761963,-5.17434024810791,0.11629271507263184,0.11629271507263184,0.3720409870147705,-12.884654998779297,-12.174673080444336,0.7099814414978027,0.7099814414978027,0.3828396797180176
"{'osm_id': 355095117, 'osm_type': 'yes'}",chennai_bld_001418,4,4,100.0,0.08340835571289062,0.012629583477973938,-0.07077878713607788,-0.47935885190963745,2.0409709152506506,-10.594420433044434,-12.133914947509766,-1.5394952297210693,-1.0605182647705078,1.7275209727399579
"{'osm_id': 355095118, 'osm_type': 'yes'}",chennai_bld_001419,2,2,100.0,1.5909926891326904,1.507325530052185,-0.08366715908050537,-0.08366715908050537,2.576342225074768,-11.976097106933594,-12.913562774658203,-0.9374656677246094,-0.9374656677246094,2.4130935668945312
"{'osm_id': 355095120, 'osm_type': 'yes'}",chennai_bld_001420,2,2,100.0,7.561887264251709,9.283662796020508,1.7217750549316406,1.7217750549316406,1.0548744201660156,-13.35572338104248,-12.006505966186523,1.349217414855957,1.349217414855957,3.4463510513305664
"{'osm_id': 355095122, 'osm_type': 'yes'}",chennai_bld_001421,4,4,100.0,-3.2762248516082764,-3.4671335220336914,-0.1909087896347046,0.2112879753112793,1.905387035482405,-10.662372589111328,-11.052026748657227,-0.38965392112731934,-1.3819818496704102,1.9363955862938376
"{'osm_id': 355095123, 'osm_type': 'yes'}",chennai_bld_001422,4,4,100.0,1.196295976638794,-1.2288784980773926,-2.4251744747161865,-2.1124134063720703,3.8329219204914042,-5.568914890289307,-6.482910633087158,-0.9139956831932068,-2.181490898132324,2.897150761380346
"{'osm_id': 355095124, 'osm_type': 'yes'}",chennai_bld_001423,4,4,100.0,3.5197739601135254,4.132789134979248,0.6130151748657227,-0.9561538100242615,4.500916512949648,-10.414941787719727,-12.309654235839844,-1.8947124481201172,-1.4707131385803223,1.2109238033225103
"{'osm_id': 355095125, 'osm_type': 'yes'}",chennai_bld_001424,2,2,100.0,-1.7656443119049072,-3.5103302001953125,-1.7446858882904053,-1.7446858882904053,1.8553950786590576,-8.873435974121094,-11.166206359863281,-2.2927706241607666,-2.2927706241607666,0.05445408821105957
"{'osm_id': 355095126, 'osm_type': 'yes'}",chennai_bld_001425,4,4,100.0,-2.4463775157928467,-4.702298164367676,-2.255920886993408,-1.5163105726242065,2.4266497878598488,-11.862161636352539,-11.839929580688477,0.022231340408325195,-0.45445966720581055,1.4082798520007274
"{'osm_id': 355095127, 'osm_type': 'yes'}",chennai_bld_001426,2,2,100.0,-0.02686166763305664,-1.3547168970108032,-1.327855110168457,-1.327855110168457,1.1524667441844945,-12.718751907348633,-12.871519088745117,-0.15276670455932617,-0.15276670455932617,1.95155668258667
"{'osm_id': 355095128, 'osm_type': 'yes'}",chennai_bld_001427,6,6,100.0,-2.2037375768025718,-2.132512092590332,0.07122564315795898,0.23911720514297485,3.9924989612935904,-10.480035146077475,-10.184558868408203,0.2954752445220947,0.3890247344970703,4.131413636189886
"{'osm_id': 355095129, 'osm_type': 'yes'}",chennai_bld_001428,4,4,100.0,-4.9331183433532715,-4.426326751708984,0.5067917108535767,0.4305609464645386,1.4588749935000174,-10.546192169189453,-9.519722938537598,1.0264703035354614,1.7361106872558594,2.6244241447765675
"{'osm_id': 355095130, 'osm_type': 'yes'}",chennai_bld_001429,4,4,100.0,-0.7341536283493042,-2.5459163188934326,-1.8117625713348389,-1.1528959274291992,2.6314315221798226,-14.387372970581055,-15.702465057373047,-1.315091609954834,-1.4362144470214844,1.1260020291303752
"{'osm_id': 355095132, 'osm_type': 'yes'}",chennai_bld_001430,1,1,100.0,4.351196765899658,2.7984414100646973,-1.552755355834961,-1.552755355834961,0.0,-11.966757774353027,-12.805835723876953,-0.8390779495239258,-0.8390779495239258,0.0
"{'osm_id': 355095133, 'osm_type': 'yes'}",chennai_bld_001431,2,2,100.0,2.9448537826538086,0.1669682264328003,-2.777885675430298,-2.777885675430298,0.9403627514839191,-11.226274490356445,-13.837444305419922,-2.6111702919006348,-2.6111702919006348,1.3033452033996582
"{'osm_id': 355095134, 'osm_type': 'yes'}",chennai_bld_001432,2,2,100.0,1.5950684547424316,1.575293779373169,-0.019774675369262695,-0.019774675369262695,1.423410177230835,-8.393956184387207,-7.860095024108887,0.5338613986968994,0.5338613986968994,1.0767338275909424
"{'osm_id': 355095135, 'osm_type': 'yes'}",chennai_bld_001433,5,5,100.0,-4.579370498657227,-4.384290313720703,0.19508018493652343,0.29120302200317383,1.434847273501646,-12.544880676269532,-12.936470031738281,-0.3915903091430664,-1.310007095336914,1.9462434094235086
"{'osm_id': 355095136, 'osm_type': 'yes'}",chennai_bld_001434,2,2,100.0,10.07323169708252,8.756436347961426,-1.3167953491210938,-1.3167953491210938,3.6218338012695312,-12.361194610595703,-11.836892127990723,0.5243029594421387,0.5243029594421387,3.038759708404541
"{'osm_id': 355095137, 'osm_type': 'yes'}",chennai_bld_001435,4,4,100.0,-1.0910842418670654,-4.569668292999268,-3.478584051132202,-3.0051374435424805,2.2140039641669724,-16.054100036621094,-14.863847732543945,1.190253734588623,0.8691129684448242,3.3525460785220553
"{'osm_id': 355095139, 'osm_type': 'yes'}",chennai_bld_001436,4,4,100.0,0.04646962881088257,0.2472323477268219,0.20076268911361694,0.7788325548171997,2.4717033995720836,-11.913147926330566,-10.878615379333496,1.0345321893692017,1.6310663223266602,1.8843579521213785
"{'osm_id': 355095140, 'osm_type': 'yes'}",chennai_bld_001437,2,2,100.0,-1.365273356437683,-1.351944923400879,0.013328403234481812,0.013328403234481812,0.8911579549312592,-11.954543113708496,-11.794169425964355,0.16037368774414062,0.16037368774414062,1.5638141632080078
"{'osm_id': 355095141, 'osm_type': 'yes'}",chennai_bld_001438,1,1,100.0,-0.5846397876739502,1.2597990036010742,1.8444387912750244,1.8444387912750244,0.0,-8.559877395629883,-15.340118408203125,-6.780241012573242,-6.780241012573242,0.0
"{'osm_id': 355095142, 'osm_type': 'yes'}",chennai_bld_001439,4,4,100.0,4.424568176269531,4.559027671813965,0.13445904850959778,0.08244460821151733,1.9167448294261498,-12.929296493530273,-14.233501434326172,-1.3042056560516357,-2.0393433570861816,2.7284661270111097
"{'osm_id': 355095143, 'osm_type': 'yes'}",chennai_bld_001440,2,2,100.0,-2.182631492614746,-4.864388942718506,-2.6817572116851807,-2.6817572116851807,0.34333109855651855,-9.883593559265137,-10.681413650512695,-0.7978194952011108,-0.7978194952011108,2.3023799657821655
"{'osm_id': 355095144, 'osm_type': 'yes'}",chennai_bld_001441,4,4,100.0,-1.390416145324707,0.6524296402931213,2.0428457260131836,2.1919350624084473,1.4681822483633147,-13.096902847290039,-15.383947372436523,-2.287043809890747,-3.0803775787353516,2.835688685155386
"{'osm_id': 355095145, 'osm_type': 'yes'}",chennai_bld_001442,4,4,100.0,-1.9500057697296143,-3.717325448989868,-1.767319679260254,-1.2847471237182617,1.3611372847605336,-14.18079662322998,-12.585027694702148,1.5957696437835693,1.5186829566955566,1.4335304158250632
"{'osm_id': 355095147, 'osm_type': 'yes'}",chennai_bld_001443,2,2,100.0,1.4889676570892334,0.11011552810668945,-1.378852128982544,-1.378852128982544,0.173903226852417,-13.900251388549805,-13.634296417236328,0.26595449447631836,0.26595449447631836,1.1050324440002441
"{'osm_id': 355095149, 'osm_type': 'yes'}",chennai_bld_001444,1,1,100.0,-0.8670863509178162,-4.473254203796387,-3.606167793273926,-3.606167793273926,0.0,-11.660717010498047,-8.518258094787598,3.142458915710449,3.142458915710449,0.0
"{'osm_id': 355095150, 'osm_type': 'yes'}",chennai_bld_001445,6,6,100.0,-3.342706044514974,-3.9406649271647134,-0.5979585647583008,-0.3914005756378174,1.7779057719602636,-10.973805745442709,-12.476371765136719,-1.502567450205485,-1.497276782989502,2.68042524474471
"{'osm_id': 355095151, 'osm_type': 'yes'}",chennai_bld_001446,2,2,100.0,-0.737043559551239,-2.2806191444396973,-1.5435757637023926,-1.5435757637023926,0.204695641994485,-9.57490348815918,-8.867792129516602,0.7071113586425781,0.7071113586425781,1.0838251113891602
