building_id,event_id,sample_type,qc_status,errors
TN_VARDAH_2016_133735,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_163439,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_193123,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_014933,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_014929,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_036674,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_061393,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_086151,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_093737,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_111107,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_138663,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_168409,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_198061,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_019886,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_019894,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_041639,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_066353,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_091112,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_094322,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_116038,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_143611,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_173312,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_203000,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_091156,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_096205,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_116130,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_143747,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_173372,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_202996,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_121024,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_121169,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_179018,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_206065,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_183187,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_000007,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_000031,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_021818,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_046551,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_071288,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_073386,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_096241,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_123783,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_153530,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_183192,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_000013,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_000042,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_021828,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_046559,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_071283,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_073179,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_096323,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_123809,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_153531,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_183215,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_004988,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_005026,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_026778,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_051513,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_076258,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_076688,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_101218,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_128750,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_158507,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_188130,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_009953,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_009982,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_031719,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_056435,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_081207,TN_VARDAH_2016,SAR_ONLY,PASS,none
