properties,building_id,total_pixels,valid_pixels,valid_pixel_pct,mean_pre_vv,mean_post_vv,mean_change_vv,median_change_vv,std_change_vv,mean_pre_vh,mean_post_vh,mean_change_vh,median_change_vh,std_change_vh
"{'osm_id': 1067561600, 'osm_type': 'yes'}",cuddalore_bld_000186,12,12,100.0,-2.991916020711263,0.5927974383036295,3.584713617960612,3.520453453063965,3.540510851942379,-13.41278330485026,-9.16848627726237,4.244296391805013,4.01831579208374,2.0715600954605113
"{'osm_id': 1067561602, 'osm_type': 'yes'}",cuddalore_bld_000187,16,16,100.0,10.228999137878418,10.252634048461914,0.023634374141693115,1.3607438802719116,5.00624493736496,-10.339597702026367,-13.320060729980469,-2.9804625511169434,-2.631821632385254,2.7756649094059846
"{'osm_id': 1067561603, 'osm_type': 'yes'}",cuddalore_bld_000188,13,13,100.0,-4.967826256385217,0.8468544299785907,5.8146808330829325,8.230583190917969,4.363018054817237,-16.044092031625603,-13.5821533203125,2.461938711313101,0.8998088836669922,3.8753501946381075
"{'osm_id': 1067561604, 'osm_type': 'yes'}",cuddalore_bld_000189,6,6,100.0,-7.02084477742513,-0.5658251444498698,6.455019632975261,5.976236343383789,2.9077828451965764,-14.166058858235678,-13.585432688395182,0.5806260108947754,0.38169002532958984,1.6944023495820357
"{'osm_id': 1067561605, 'osm_type': 'yes'}",cuddalore_bld_000190,7,7,100.0,-3.6201697758265903,-2.0362043380737305,1.5839657102312361,2.7033135890960693,1.9569024805216308,-16.879520961216517,-12.974312918526786,3.9052064078194753,3.72119140625,2.3252761407388953
"{'osm_id': 1067561606, 'osm_type': 'yes'}",cuddalore_bld_000191,6,6,100.0,-1.998132546742757,-1.4610567092895508,0.5370758771896362,-0.3557204008102417,2.9249176449433416,-16.016638437906902,-15.277085622151693,0.7395521799723307,0.9127469062805176,3.730882923389566
"{'osm_id': 1067561607, 'osm_type': 'yes'}",cuddalore_bld_000192,15,15,100.0,-2.1695343017578126,0.0037984207272529604,2.1733327229817707,2.2453460693359375,3.392932432481489,-10.787276204427084,-10.841556803385417,-0.0542816162109375,0.22499465942382812,1.9532169306934477
"{'osm_id': 1067561608, 'osm_type': 'yes'}",cuddalore_bld_000193,11,11,100.0,-8.481924577192826,-5.79810263893821,2.6838221116499468,1.818333625793457,4.064703260596446,-14.69561767578125,-12.107804731889205,2.587812597101385,3.409526824951172,4.185214266600715
"{'osm_id': 1067561609, 'osm_type': 'yes'}",cuddalore_bld_000194,14,14,100.0,-5.225799560546875,-0.6414358956473214,4.584363119942801,4.905860900878906,2.868902766593301,-12.336675371442523,-10.939352852957589,1.3973208836146764,1.4673171043395996,1.580217164862657
"{'osm_id': 1067561610, 'osm_type': 'yes'}",cuddalore_bld_000195,14,14,100.0,-5.254573277064732,-5.105957576206753,0.14861539431980678,-0.15118169784545898,1.6030382710821198,-10.437417166573661,-11.720899309430804,-1.2834820066179549,-0.7497982978820801,2.2419458509246786
